number,value,lgb_lr,lgb_num_leaves,lgb_max_depth,lgb_min_child_samples,lgb_subsample,lgb_colsample_bytree,lgb_reg_alpha,lgb_reg_lambda,xgb_lr,xgb_max_depth,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_alpha,xgb_reg_lambda,feature_selection,feature_selection_ratio,feature_selection_min,purge_days,min_purge_days,ensemble_grid_step,attr_n_features,attr_feature_selection,attr_mag_rmse,attr_time_asym_rmse,attr_time_rmse,attr_n_models,attr_available_models,attr_holdout_combined,attr_holdout_mag_rmse,attr_holdout_time_asym_rmse
45,10.407825171045047,0.012780501924787685,17,4,60,0.6822189602066027,0.7547538908014277,0.07596915143406213,4.669304602380243,0.015809806678877065,4,38,0.6053870539514146,0.5179499669417434,0.05837333324859259,0.14110963661450085,False,0.7468827613643673,30,60.72874077041191,14.314437284256451,0.04,143,False,0.5140239307048953,8.86575337893036,8.880361828113857,2,"baseline,xgboost",,,
46,10.41105906654709,0.017132310107889327,42,8,89,0.6993121452065915,0.44596498935787066,0.018741052018542138,2.647668204324631,0.013382723463543428,4,26,0.71328232374055,0.88396808272324,0.6520323368442383,0.957695529881906,True,0.6506210369078668,52,16.404539414830268,5.760274654460115,0.02,52,True,0.5133791944935479,8.870921483066446,8.872619290684582,2,"baseline,xgboost",,,
47,10.401102614121704,0.01382399152683828,26,3,97,0.5829197485600993,0.5592080007224175,0.21804059415204016,8.574851567451297,0.04216273763933122,6,45,0.6094866452296664,0.7921544198722299,0.044755379290055415,0.8156822711323776,False,0.7193021619683686,35,18.83336882496401,16.125913631686544,0.04,143,False,0.5172420109161141,8.849376581373363,8.87804703742819,2,"baseline,xgboost",,,
48,10.38290870607861,0.01977323300601802,17,5,73,0.6086795514619987,0.9269736782951111,0.915743194101916,0.5886526772021137,0.01132376198850872,6,46,0.5520536189715916,0.5790482331241251,2.297143223699197,0.11713763309923848,True,0.6230952650975765,35,20.080740973731604,9.972012267890948,0.04,35,True,0.5146098421662442,8.839079179579876,8.888489697870428,2,"baseline,xgboost",,,
49,10.401310794463694,0.019795123537434768,15,3,50,0.7308362824255776,0.9304061877825227,0.8745799765355173,0.6154006345811073,0.014009798268250708,4,36,0.5868854801866372,0.5432098945077397,1.0222476771106526,0.10949479580749143,True,0.6350531236041493,27,33.302388338576215,11.987586052618637,0.04,27,True,0.5127970459264327,8.862919656684396,8.905396241416069,2,"baseline,xgboost",,,
50,10.42943225370752,0.03602858209105237,20,4,34,0.5525884973382869,0.9043583320557431,0.45480684655144304,1.2100430111887521,0.011640503429974754,7,17,0.5737642776610024,0.9132144097793456,7.177611717821951,0.21167079583345183,True,0.6477704814159497,52,18.965499644166336,16.45293437431941,0.02,52,True,0.5159159102580977,8.881684522933226,9.034212017583762,2,"baseline,xgboost",12.346779559254774,2.495113970256255,9.851665588998518
51,10.39931533618512,0.0336885941872177,16,6,22,0.6286277481044702,0.6990655337548312,0.05045738423974395,0.18958073054572264,0.013348910353962304,8,47,0.5842554113095566,0.5256510300110814,8.791021920297633,0.4957698412022017,True,0.6018362053199976,53,22.63956526632534,10.95087288512681,0.02,53,True,0.5161460546817676,8.850877172139818,9.022738180288243,2,"baseline,xgboost",,,
52,10.386962965094794,0.020421872712399244,25,9,82,0.6747048552854005,0.9091376306881058,0.052468249710948135,0.9268368232954362,0.010187006662033175,11,37,0.5333348053754735,0.6888197497445967,0.12865363292986925,0.255306395439525,True,0.643391872401032,24,34.0807511633016,11.88146895690182,0.04,24,True,0.5147019363944033,8.842857155911584,8.870034101102267,2,"baseline,xgboost",,,
53,10.385855154986558,0.013550984049168205,31,8,95,0.7435057561871369,0.8114297150417681,0.005948052610596662,2.0213482893017916,0.012279309297508173,9,36,0.5114785356993128,0.5502644605321294,0.0778293938306503,0.47799674942849424,True,0.6911402185441862,20,36.634063149966096,12.50759924605912,0.04,20,True,0.5136763375710632,8.84482614227337,8.875629507721401,2,"baseline,xgboost",,,
54,10.390958117621693,0.03663622374558467,27,5,77,0.5857068100975343,0.9084549058436804,0.023188744971105367,0.1817071325385295,0.012630085125170725,6,45,0.5250142359499214,0.5943533909790228,3.651202467150277,0.2382543962167587,False,0.6438294219809517,26,16.2452926442795,8.978201875630809,0.04,143,False,0.5150399053059581,8.84583840170382,8.968341226428377,2,"baseline,xgboost",,,
55,10.37083690440196,0.018190672402691486,66,5,45,0.6480017541655972,0.705933051159586,0.7969095660886591,0.21202386267091247,0.010231471668884115,4,30,0.6924522851242634,0.8869970489759221,7.389330457027762,0.18671353524495957,True,0.6296683985432673,49,12.584118352556393,3.942647934107066,0.02,49,True,0.5160265992904954,8.822757106530474,8.895912476868588,2,"baseline,xgboost",12.606282307393139,2.4946715306697285,10.11161077672341
