mainshock_id,mainshock_time,mainshock_lat,mainshock_lon,mainshock_mag,mainshock_depth,early_aftershock_count,early_max_mag,early_mean_mag,early_energy_sum,advanced_early_event_count,gr_b_value,gr_a_value,gr_mc,gr_n,gr_valid,omori_p,omori_c,omori_k,omori_nll,omori_n,omori_p_boundary_hit,omori_valid,anisotropy_major_axis_km,anisotropy_minor_axis_km,anisotropy_axis_ratio,anisotropy_azimuth_deg,anisotropy_n,anisotropy_valid,count_1h,energy_1h,count_6h,energy_6h,count_12h,energy_12h,count_24h,energy_24h,count_72h,energy_72h,etas_mu,etas_K0,etas_alpha,etas_c,etas_p,etas_nll,etas_n,etas_valid,plate_type_SUB,plate_type_OTF,plate_type_OSR,plate_type_UNK,plate_boundary_distance_km,nearest_plate_boundary_type,target_max_mag,target_time_to_max_days
iscgem794513,1970-06-11 16:46:34.180000+00:00,-59.272,159.229,7.3,15.0,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,28.614488553332233,UNK,0.0,0.0
iscgem794565,1970-06-14 00:00:10.850000+00:00,-52.027,-74.131,6.87,15.0,1,5.6,5.6,15848931924611.11,1,,,,1,False,,,,,1,False,False,,,,,1,False,1,15848931924611.11,1,15848931924611.11,1,15848931924611.11,1,15848931924611.11,1,15848931924611.11,,,,,,,1,False,0,0,0,1,132.37525788531752,UNK,0.0,0.0
iscgem794605,1970-06-15 11:14:51.080000+00:00,-54.421,-64.239,6.79,10.0,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,60.59758910825221,UNK,0.0,0.0
iscgem794705,1970-06-19 10:56:15.760000+00:00,-22.226,-70.351,6.5,50.0,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,68.638335105474,UNK,0.0,0.0
iscgem794827,1970-06-24 13:09:12.490000+00:00,51.754,-131.006,7.3,19.9,1,5.53,5.53,12445146117713.818,1,,,,1,False,,,,,1,False,False,,,,,1,False,1,12445146117713.818,1,12445146117713.818,1,12445146117713.818,1,12445146117713.818,1,12445146117713.818,,,,,,,1,False,0,0,0,1,1.1890685757920998,UNK,0.0,0.0
iscgem794847,1970-06-25 05:13:57.570000+00:00,-7.883,158.775,6.21,48.3,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,172.51686836040375,SUB,0.0,0.0
iscgem793406,1970-07-02 00:45:02.380000+00:00,-10.166,-78.54,6.0,50.1,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,164.74979243265875,SUB,0.0,0.0
iscgem793407,1970-07-02 00:56:14.130000+00:00,-51.056,139.265,6.08,10.0,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,50.69736468314825,UNK,0.0,0.0
iscgem793612,1970-07-09 12:11:57.930000+00:00,43.772,148.396,6.06,29.4,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,66.33159841867801,SUB,0.0,0.0
iscgem793800,1970-07-16 21:17:43.670000+00:00,-19.187,-173.333,6.09,15.0,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,46.67331184073396,SUB,0.0,0.0
iscgem793837,1970-07-17 20:04:47.040000+00:00,-22.026,-174.652,6.31,20.8,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,65.1425270029873,SUB,0.0,0.0
iscgem793841,1970-07-18 01:48:38.910000+00:00,51.353,-178.504,6.1,31.3,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,152.30038936469572,SUB,0.0,0.0
iscgem793870,1970-07-19 09:22:43.510000+00:00,-3.997,152.226,6.16,18.4,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,22.012001783588556,UNK,0.0,0.0
iscgem794013,1970-07-25 22:41:13.800000+00:00,32.138,131.751,7.0,42.7,1,6.2,6.2,125892541179417.14,1,,,,1,False,,,,,1,False,False,,,,,1,False,0,0.0,0,0.0,1,125892541179417.14,1,125892541179417.14,1,125892541179417.14,,,,,,,1,False,0,0,0,1,48.34519351802824,UNK,0.0,0.0
iscgem794089,1970-07-28 23:06:24.120000+00:00,-44.453,-79.47,6.03,15.0,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,29.185782346063984,UNK,0.0,0.0
iscgem794098,1970-07-29 05:50:58.810000+00:00,39.872,77.754,6.01,14.8,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,935.5983428763508,UNK,0.0,0.0
iscgem794114,1970-07-30 00:52:20.690000+00:00,37.761,55.852,6.36,12.4,1,5.17,5.17,3589219346450.05,1,,,,1,False,,,,,1,False,False,,,,,1,False,0,0.0,1,3589219346450.05,1,3589219346450.05,1,3589219346450.05,1,3589219346450.05,,,,,,,1,False,0,0,0,1,1111.7958875855195,UNK,0.0,0.0
iscgem794121,1970-07-30 04:58:46.170000+00:00,14.179,51.92,6.55,28.8,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,7.391760831000179,UNK,0.0,0.0
iscgem792739,1970-08-11 03:48:52.120000+00:00,-1.136,-13.871,6.35,15.5,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,4.0381397799817655,UNK,0.0,0.0
iscgem792753,1970-08-11 10:22:21.760000+00:00,-14.066,166.666,6.9,20.0,2,6.38,6.195,299735936796740.2,2,,,,2,False,,,,,2,False,False,,,,,2,False,0,0.0,0,0.0,0,0.0,2,299735936796740.2,2,299735936796740.2,,,,,,,2,False,0,0,0,1,40.13423789924712,UNK,0.0,0.0
iscgem792811,1970-08-12 09:24:15.910000+00:00,11.889,-86.704,6.52,55.0,1,5.93,5.93,49545019080479.055,1,,,,1,False,,,,,1,False,False,,,,,1,False,0,0.0,1,49545019080479.055,1,49545019080479.055,1,49545019080479.055,1,49545019080479.055,,,,,,,1,False,1,0,0,0,123.44602981404348,SUB,0.0,0.0
iscgem792985,1970-08-18 17:52:09.220000+00:00,60.578,-145.518,6.07,27.1,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,199.53029885508417,UNK,0.0,0.0
iscgem793157,1970-08-24 12:30:19.120000+00:00,-56.412,-142.635,6.4,16.7,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,8.835738515129707,UNK,0.0,0.0
iscgem793243,1970-08-27 16:22:24.460000+00:00,-15.23,-173.218,6.03,10.0,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,50.86390803447325,SUB,0.0,0.0
iscgem793250,1970-08-28 01:02:47.020000+00:00,-4.651,153.185,6.48,59.2,0,0.0,0.0,0.0,0,,,,0,False,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,21.337320761291085,UNK,0.0,0.0
