mainshock_id,mainshock_time,mainshock_lat,mainshock_lon,mainshock_mag,mainshock_depth,early_aftershock_count,early_max_mag,early_mean_mag,early_energy_sum,target_max_mag,target_time_to_max_days
iscgem786128,1971-03-03 14:46:31.880000+00:00,25.856,-110.048,6.0,24.8,0,0.0,0.0,0.0,0.0,0.0
iscgem786342,1971-03-13 15:47:59.450000+00:00,-18.339,173.731,6.06,20.0,0,0.0,0.0,0.0,0.0,0.0
iscgem786349,1971-03-13 23:51:33.790000+00:00,50.45,-130.336,6.15,12.5,0,0.0,0.0,0.0,0.0,0.0
iscgem786399,1971-03-16 12:32:31.250000+00:00,-10.936,163.707,6.36,25.1,0,0.0,0.0,0.0,0.0,0.0
iscgem786403,1971-03-16 20:35:17.060000+00:00,8.416,127.054,6.04,22.4,0,0.0,0.0,0.0,0.0,0.0
iscgem786547,1971-03-23 09:26:29.280000+00:00,70.956,-7.114,6.14,15.2,0,0.0,0.0,0.0,0.0,0.0
iscgem786548,1971-03-23 09:52:10.920000+00:00,41.494,79.248,6.07,9.5,0,0.0,0.0,0.0,0.0,0.0
iscgem786580,1971-03-24 13:54:19.650000+00:00,35.486,98.134,6.0,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem786706,1971-03-28 08:23:20.540000+00:00,11.882,95.058,6.28,16.3,0,0.0,0.0,0.0,0.0,0.0
iscgem785314,1971-04-04 10:15:36.440000+00:00,-56.29,-122.733,6.5,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem785331,1971-04-04 18:39:39.710000+00:00,38.378,142.232,6.06,41.9,0,0.0,0.0,0.0,0.0,0.0
iscgem785417,1971-04-07 04:59:38.820000+00:00,2.502,129.116,6.59,26.8,0,0.0,0.0,0.0,0.0,0.0
iscgem785559,1971-04-12 19:03:23.170000+00:00,28.279,55.684,6.04,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem785990,1971-04-28 15:32:02.230000+00:00,22.935,101.121,6.04,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem786031,1971-04-29 19:56:14.440000+00:00,12.715,122.293,6.03,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem784013,1971-05-02 06:08:27.300000+00:00,51.403,-177.302,6.98,25.0,0,0.0,0.0,0.0,0.0,0.0
iscgem784042,1971-05-03 10:49:24.350000+00:00,-11.24,161.802,6.02,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem784056,1971-05-04 02:04:33.040000+00:00,-6.595,105.359,6.27,51.4,0,0.0,0.0,0.0,0.0,0.0
iscgem784158,1971-05-07 00:21:14.630000+00:00,-2.663,119.697,6.11,22.9,0,0.0,0.0,0.0,0.0,0.0
iscgem784250,1971-05-09 08:25:02+00:00,-39.777,-104.899,6.42,23.8,0,0.0,0.0,0.0,0.0,0.0
iscgem784339,1971-05-12 06:25:15.990000+00:00,37.585,29.796,6.34,25.8,0,0.0,0.0,0.0,0.0,0.0
iscgem784704,1971-05-18 22:44:43.070000+00:00,63.924,145.997,6.94,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem784837,1971-05-22 16:44:02.430000+00:00,38.9,40.637,6.58,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem784996,1971-05-26 06:13:16.630000+00:00,31.344,131.436,6.16,50.6,0,0.0,0.0,0.0,6.04,0.11075462962962963
iscgem785149,1971-05-30 15:44:17.190000+00:00,25.272,96.391,6.18,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem783356,1971-06-11 12:56:01.920000+00:00,17.986,-69.81,6.52,17.2,0,0.0,0.0,0.0,0.0,0.0
iscgem783358,1971-06-11 13:58:40.040000+00:00,51.575,176.065,6.66,27.2,0,0.0,0.0,0.0,0.0,0.0
iscgem783447,1971-06-14 13:48:54.630000+00:00,56.187,123.653,6.03,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem783841,1971-06-26 19:27:15.530000+00:00,-5.18,96.844,6.4,21.0,0,0.0,0.0,0.0,0.0,0.0
iscgem782010,1971-07-09 03:03:20.220000+00:00,-32.617,-71.168,7.8,60.6,1,6.4,6.4,251188643150959.25,0.0,0.0
iscgem782181,1971-07-14 06:11:26.520000+00:00,-5.467,153.864,8.0,15.0,3,6.49,6.206666666666666,503580100413341.6,6.86,1.7523072916666667
iscgem782466,1971-07-19 15:37:45.330000+00:00,-5.568,150.619,6.35,10.0,0,0.0,0.0,0.0,6.27,3.9985736111111114
iscgem782654,1971-07-25 12:51:42.450000+00:00,12.475,123.701,6.48,20.0,0,0.0,0.0,0.0,0.0,0.0
iscgem782660,1971-07-25 15:41:23.250000+00:00,52.126,172.978,6.4,27.7,0,0.0,0.0,0.0,0.0,0.0
iscgem782684,1971-07-26 01:23:24.130000+00:00,-4.868,153.182,8.1,51.5,3,6.45,6.293333333333333,640246113202793.6,6.01,12.551771296296296
iscgemsup782694,1971-07-26 02:25:00.040000+00:00,-5.116,152.282,6.95,40.0,4,6.45,6.2299999999999995,712689709210292.5,6.27,11.73380474537037
iscgem780829,1971-08-02 07:24:58.070000+00:00,41.413,143.432,7.01,50.0,0,0.0,0.0,0.0,0.0,0.0
iscgem780929,1971-08-05 01:58:51.370000+00:00,-0.789,-22.071,7.06,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem781143,1971-08-11 14:23:30.250000+00:00,-62.808,155.522,6.19,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem781208,1971-08-13 16:48:46.820000+00:00,-6.053,154.147,6.05,10.0,0,0.0,0.0,0.0,0.0,0.0
iscgem781235,1971-08-14 09:02:50.410000+00:00,-15.581,-178.305,6.57,13.5,0,0.0,0.0,0.0,0.0,0.0
