mainshock_id,mainshock_time,mainshock_lat,mainshock_lon,mainshock_mag,mainshock_depth,early_aftershock_count,early_max_mag,early_mean_mag,early_energy_sum,target_max_mag,target_time_to_max_days,advanced_early_event_count,bath_deficit,bath_early_max_mag,bath_valid,gr_b_value,gr_a_value,gr_mc,gr_n,gr_valid,productivity_index,omori_p,omori_c,omori_k,omori_nll,omori_n,omori_p_boundary_hit,omori_valid,anisotropy_major_axis_km,anisotropy_minor_axis_km,anisotropy_axis_ratio,anisotropy_azimuth_deg,anisotropy_n,anisotropy_valid,count_1h,energy_1h,count_6h,energy_6h,count_12h,energy_12h,count_24h,energy_24h,count_72h,energy_72h,etas_mu,etas_K0,etas_alpha,etas_c,etas_p,etas_nll,etas_n,etas_valid,plate_type_SUB,plate_type_OTF,plate_type_OSR,plate_type_UNK,plate_boundary_distance_km,nearest_plate_boundary_type,strike1,dip1,rake1,strike2,dip2,rake2,fault_type,fault_type_Thrust,fault_type_Normal,fault_type_Strike_Slip,fault_type_Unknown,fault_type_NF,fault_type_SS,fault_type_TF,fault_type_UNK,plunge_P,trend_P,plunge_T,trend_T,f_clvd,gcmt_time_diff_seconds,gcmt_distance_km,focal_mechanism_valid
iscgem798465,1970-03-27 18:36:51.560000+00:00,0.308,119.359,6.71,33.1,0,0.0,0.0,0.0,0.0,0.0,0,6.71,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,0.5756049396402175,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem798488,1970-03-28 07:45:59.690000+00:00,-6.258,154.663,6.01,49.9,0,0.0,0.0,0.0,0.0,0.0,0,6.01,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,14.045084811454833,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem798506,1970-03-28 21:02:25.520000+00:00,39.132,29.58,7.23,22.2,0,0.0,0.0,0.0,6.1,18.685547106481483,10,1.6500000000000004,5.58,True,1.5455319640685086,8.882213016749393,5.1,10,True,-2.291983083465924,,,,-2.602390733718817,10,False,False,23.60969909364752,4.242155667257772,5.565495692643777,119.43205727623331,10,True,1,3349654391578.2793,3,24660209012299.305,4,39451292893981.44,5,42577372261105.4,10,75624722020342.19,1.7020199888325362,0.2805588627720512,0.46926430180944134,0.05,1.0,-3.992038995296358,10,True,0,0,0,1,222.25179403601433,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem798643,1970-03-30 16:46:44.770000+00:00,6.73,126.525,6.79,53.6,0,0.0,0.0,0.0,0.0,0.0,0,6.79,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,80.0958234773132,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem796378,1970-04-07 05:34:07.450000+00:00,15.786,121.678,7.42,30.9,1,6.52,6.52,380189396320559.7,7.03,1.935851851851852,4,0.9000000000000004,6.52,True,,,,4,False,,,,,,4,False,False,18.637917544425132,1.9547161706854006,9.53484594026249,29.938775298093844,4,True,2,47531647656772.555,3,80265717144656.42,3,80265717144656.42,3,80265717144656.42,4,460455113465216.1,,,,,,,4,False,0,0,0,1,0.49228626187124447,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem796453,1970-04-08 13:50:28.790000+00:00,38.347,22.664,6.3,13.0,0,0.0,0.0,0.0,0.0,0.0,0,6.3,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,9.237451017280135,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem796759,1970-04-15 13:14:25.550000+00:00,15.177,122.662,6.24,26.0,0,0.0,0.0,0.0,0.0,0.0,0,6.24,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,0,0,0,1,30.605051491574756,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem796787,1970-04-16 05:33:20.550000+00:00,59.769,-142.595,6.65,10.0,0,0.0,0.0,0.0,0.0,0.0,1,0.9800000000000004,5.67,True,,,,1,False,,,,,,1,False,False,,,,,1,False,0,0.0,0,0.0,0,0.0,0,0.0,1,20183663636815.598,,,,,,,1,False,0,0,0,1,124.97975954823501,UNK,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem796897,1970-04-18 23:25:35.360000+00:00,42.945,147.317,6.13,31.4,0,0.0,0.0,0.0,0.0,0.0,0,6.13,,False,,,,0,False,,,,,,0,False,False,,,,,0,False,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,0,False,1,0,0,0,33.858520720711404,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
iscgem797311,1970-04-29 14:01:35.440000+00:00,14.472,-92.612,7.3,35.0,1,6.63,6.63,555904257270404.9,0.0,0.0,6,0.6699999999999999,6.63,True,,,5.9,2,False,,,,,,6,False,False,22.85814227553502,9.82712145002285,2.3260262317692098,174.59638009402383,6,True,0,0.0,1,25703957827688.645,2,65975661260234.59,5,719668798565626.4,6,752402868053510.2,,,,,,,6,False,1,0,0,0,94.47440359773722,SUB,,,,,,,Unknown,0,0,0,1,0,0,0,1,,,,,,,,False
