window,threshold,margin,strength,cap,visible_mae,visible_rmse,visible_max_abs,visible_changed,oof_mae_delta,oof_rmse_delta,oof_high_mae_delta,oof_changed
T1,7.0,1.9,0.1,0.5,0.41500000000000004,0.5643580423808985,1.6999999999999993,1,-0.006572550214726691,-0.003886223705632741,-0.04006635007465409,149
T1,7.0,1.9,0.2,0.5,0.41500000000000004,0.5643580423808985,1.6999999999999993,1,-0.012909998774397469,-0.007533282674098807,-0.07809104143267875,218
T1,7.0,1.9,0.3,0.5,0.4050000000000001,0.5454356057317857,1.5999999999999996,3,-0.018383249803203716,-0.010762949378713582,-0.11093054760551824,235
T1,7.0,1.9,0.4,0.5,0.4,0.5422176684690383,1.5999999999999996,3,-0.023362673671516676,-0.01352850511695003,-0.1408070908153949,245
T1,7.0,1.9,0.5,0.5,0.3950000000000001,0.5399073994677235,1.5999999999999996,3,-0.028877076963697457,-0.016136264305064874,-0.17389351056848124,249
T1,7.0,1.9,0.6,0.5,0.3950000000000001,0.5399073994677235,1.5999999999999996,3,-0.03249847614065238,-0.01796491892265628,-0.19562190563020965,258
T1,7.0,1.9,0.7,0.5,0.3950000000000001,0.5399073994677235,1.5999999999999996,3,-0.03624333210773112,-0.019733344686875487,-0.21809104143267877,265
T1,7.0,1.9,0.8,0.5,0.38000000000000006,0.5205766033928148,1.4999999999999991,3,-0.03850670659332733,-0.02096866581330037,-0.23167128834625905,265
T1,7.0,1.9,0.9,0.5,0.37500000000000006,0.5200961449578336,1.4999999999999991,3,-0.04044086297192817,-0.021960969334322566,-0.24327622661786397,265
T1,7.0,1.9,1.0,0.5,0.37500000000000006,0.5200961449578336,1.4999999999999991,3,-0.04101699465917075,-0.022434856297280703,-0.24673301674132075,265
T1,7.0,2.0,0.1,0.5,0.41999999999999993,0.5683308895353127,1.6999999999999993,0,-0.005708352683862383,-0.003455389305176748,-0.034881164889468796,124
T1,7.0,2.0,0.2,0.5,0.41500000000000004,0.5643580423808985,1.6999999999999993,1,-0.011140451449294542,-0.0066674614858124315,-0.06747375748206152,187
T1,7.0,2.0,0.3,0.5,0.41500000000000004,0.5643580423808985,1.6999999999999993,1,-0.0163256366344795,-0.009745530408007852,-0.09858486859317261,211
T1,7.0,2.0,0.4,0.5,0.41,0.5612486080160911,1.6999999999999993,1,-0.021346212766166994,-0.012410717388460224,-0.12870832538329602,225
T1,7.0,2.0,0.5,0.5,0.4,0.5422176684690383,1.5999999999999996,3,-0.025502591366989735,-0.014545238986265918,-0.15364659698823424,228
T1,7.0,2.0,0.6,0.5,0.4,0.5422176684690383,1.5999999999999996,3,-0.02990588354806012,-0.016728848830794618,-0.1800663500746541,231
T1,7.0,2.0,0.7,0.5,0.3950000000000001,0.5399073994677235,1.5999999999999996,3,-0.03315691235464424,-0.018383934385224343,-0.19957252291416028,236
T1,7.0,2.0,0.8,0.5,0.3950000000000001,0.5399073994677235,1.5999999999999996,3,-0.03632563663447952,-0.019774768138546506,-0.2185848685931726,236
T1,7.0,2.0,0.9,0.5,0.39000000000000007,0.5385164807134505,1.5999999999999996,3,-0.03784827037933547,-0.020804204816710747,-0.22772067106230842,236
T1,7.0,2.0,1.0,0.5,0.39000000000000007,0.5385164807134505,1.5999999999999996,3,-0.03875362017357453,-0.021479459264408085,-0.23315276982774047,236
T1,7.0,2.1,0.1,0.5,0.41999999999999993,0.5683308895353127,1.6999999999999993,0,-0.005008764206495986,-0.003021462601590308,-0.0306836340252713,107
T1,7.0,2.1,0.2,0.5,0.41500000000000004,0.5643580423808985,1.6999999999999993,1,-0.009823579021311035,-0.006046152435756014,-0.05957252291416015,159
T1,7.0,2.1,0.3,0.5,0.41500000000000004,0.5643580423808985,1.6999999999999993,1,-0.014679546099499952,-0.00878609783893447,-0.08870832538329598,185
T1,7.0,2.1,0.4,0.5,0.41500000000000004,0.5643580423808985,1.6999999999999993,1,-0.018465554329953004,-0.011134264469883082,-0.11142437476601208,198
T1,7.0,2.1,0.5,0.5,0.41500000000000004,0.5643580423808985,1.6999999999999993,1,-0.02323921688139352,-0.013602105768216521,-0.14006635007465407,206
T1,7.0,2.1,0.6,0.5,0.41,0.5612486080160911,1.6999999999999993,1,-0.026942920585097063,-0.015432402615898955,-0.16228857229687632,210
T1,7.0,2.1,0.7,0.5,0.41,0.5612486080160911,1.6999999999999993,1,-0.03027625391843025,-0.017018807455441376,-0.18228857229687634,215
T1,7.0,2.1,0.8,0.5,0.41,0.5612486080160911,1.6999999999999993,1,-0.033156912354644685,-0.018333128952474187,-0.19957252291416028,215
T1,7.0,2.1,0.9,0.5,0.4050000000000001,0.5590169943749473,1.6999999999999993,1,-0.03529683005011752,-0.019487079645689853,-0.21241202908699974,215
T1,7.0,2.1,1.0,0.5,0.4050000000000001,0.5590169943749473,1.6999999999999993,1,-0.036366788897854274,-0.020303174318885286,-0.2188317821734196,215
T1,7.0,2.2,0.1,0.5,0.41999999999999993,0.5683308895353127,1.6999999999999993,0,-0.00472069836287492,-0.0028131259398147535,-0.028955238963543017,92
T1,7.0,2.2,0.2,0.5,0.41999999999999993,0.5683308895353127,1.6999999999999993,0,-0.008506706593327529,-0.005374512692993605,-0.051671288346259,129
T1,7.0,2.2,0.3,0.5,0.41500000000000004,0.5643580423808985,1.6999999999999993,1,-0.012745389720899558,-0.007948436190801988,-0.07710338711169107,153
T1,7.0,2.2,0.4,0.5,0.41500000000000004,0.5643580423808985,1.6999999999999993,1,-0.016449093424603323,-0.010169538272259526,-0.09932560933391332,168
T1,7.0,2.2,0.5,0.5,0.41500000000000004,0.5643580423808985,1.6999999999999993,1,-0.019741274494561756,-0.011955694166358999,-0.11907869575366647,174
